[10:06:46] Conectando...
[10:06:49] Actualizando opcode...
[10:07:01] Barrido 5 MACD x 3 EMA | exp 5m (h=1) | 50 reales + 182 OTC
[10:30:52] [148/232] NOKJPY-OTC (otc, baj, 9001 velas)
[10:31:32] [149/232] NVDA-OTC (otc, baj, 9001 velas)
[10:32:04] [150/232] NVDA/AMD-OTC (otc, baj, 9001 velas)
[10:32:42] [151/232] NZDCAD-OTC (otc, baj, 9001 velas)
[10:33:24] [152/232] NZDCHF-OTC (otc, baj, 9001 velas)
[10:34:02] [153/232] NZDJPY-OTC (otc, baj, 9001 velas)
[10:34:36] [154/232] NZDUSD-OTC (otc, baj, 9000 velas)
[10:35:12] [155/232] ONDOUSD-OTC (otc, baj, 9000 velas)
[10:35:44] [156/232] ONYXCOINUSD-OTC (otc, baj, 9001 velas)
[10:36:16] [157/232] ORDIUSD-OTC (otc, baj, 9001 velas)
[10:36:48] [158/232] OpenAI-OTC (otc, baj, 8267 velas)
[10:37:19] [159/232] PENGUUSD-OTC (otc, baj, 9001 velas)
[10:37:52] [160/232] PENUSD-OTC (otc, baj, 9001 velas)
[10:39:29] [161/232] PEPEUSD-OTC (otc, baj, 9001 velas)
[10:40:03] [162/232] PLTR-OTC (otc, baj, 9000 velas)
[10:40:38] [163/232] PYTHUSD-OTC (otc, baj, 9001 velas)
[10:41:16] [164/232] RAYDIUMUSD-OTC (otc, baj, 9001 velas)
[10:41:55] [165/232] RENDERUSD-OTC (otc, baj, 9001 velas)
[10:42:33] [166/232] RONINUSD-OTC (otc, baj, 9001 velas)
[10:43:15] [167/232] SANDUSD-OTC (otc, baj, 9001 velas)
